Role,Category,Skill,Importance
Financial Analyst,Software,Excel,5
Financial Analyst,Software,Tableau,4
Financial Analyst,Software,SQL,4
Financial Analyst,Software,PowerBI,4
SEO Specialist,Software,Google Analytics,5
SEO Specialist,Software,Ahrefs,5
SEO Specialist,Software,SEMrush,4
SEO Analyst,Software,Google Search Console,5
SEO Analyst,Software,Screaming Frog,4
Content Strategist,Software,WordPress,4
Content Strategist,Software,Notion,4
Content Strategist,Software,Canva,3
Content Lead,Software,Figma,4
Content Lead,Software,Adobe Creative Cloud,4
Marketing Executive,Software,Mailchimp,4
Marketing Executive,Software,Google Ads,5
Marketing Executive,Software,Meta Ads Manager,4
Helpdesk,Software,Jira Service Desk,5
Helpdesk,Software,Zendesk,5
Support Engineer,Software,Jira,5
Support Engineer,Software,Postman,4
Support Engineer,Software,Splunk,4
Business Development,Software,Salesforce,5
Business Development,Software,ZoomInfo,4
Tester,Software,Selenium,5
Tester,Software,Jira,5
Tester,Software,Postman,4
Tester,Software,PyTest,4
